abbhavalāhakānaṃ,abbha+valāhakānaṃ
abbhokāsagatassa,abbhokāsa1+gatassa2
abbhutañca,abbhutañ+ca
abbhutañcā,abbhutañ1+cā
abbuhanahetu,abbuhana+hetu
abhavissāti,abhavissā+ti
abhayūparatohamasmi,abhaya8+uparato2+aham+asmi
abhibhāyatanañhetaṃ,abhibhū2+āyatanañ+hi+etaṃ
abhijappādhikaraṇañca,abhijappā1+adhikaraṇañ+ca+
abhijjhampāhaṃ,abhijjham+pi+ahaṃ
abhijjhābyāpādesu,abhijjhā6+byāpādesu
abhijjhālukāmesutibbasārāgasandosahetu,abhijjhālu5+kāmesu1+tibba1+sārāga+sandosa+hetu
abhijjhāpaccayā,atipāta2+abhijjhā9+paccayā
abhijjhāsahagatāya,abhijjhā20+sahagatena1
abhijātihetu,abhijāti1+hetu
abhikkamaneneva,abhikkamanena+eva
abhikkamatipi,abhikkamati+pi
abhikkhaṇātaṅko,abhikkhaṇaṃ1+ātaṅko
abhiramantīti,abhiramantī+ti
abhiratarūpe,abhirata+rūpe11
abhiratarūpā,abhirata+rūpā1
abhogavāva,abhogavā+eva
abhumme,abhum+me
abhūtabbhakkhānasaṃvattaniko,abhūta2+abbhakkhāna+saṃvattaniko
abyābajjhaparamatāya,abyābajjha+paramatāya
abyābajjhaparamatāyā,abyābajjha+paramatāyā
abyābajjhaparamāhaṃ,abyābajjha1+paramaṃ2+ahaṃ
abyākaraṇadhammo,abyākaraṇa+dhammo
abyāpajjaparamatāya,abyāpajja4+paramatāya
abyāpajjhañca,abyāpajjhañ+ca
abyāpajjādhimutto,abyāpajjā+adhimutto
abyāpannacittehi,abyāpanna+cittehi
abyāpannakāyakammantassa,abyāpanna+kāya+kammantassa
abyāpannamanokammantassa,abyāpanna+mano+kammantassa
abyāpannavacīkammantassa,abyāpanna+vacī1+kammantassa
abyāpādadhātuṃ,abyāpāda+dhātuṃ
abyāpādapaccayā,abyāpāda2+paccayā
abyāpādapariyesanaṃ,abyāpāda2+pariyesanā2
abyāpādapariyesanā,abyāpāda2+pariyesanā2
abyāpādasahagatena,abyāpāda3+sahagatena1
abyāpādasahagatāya,abyāpāda3+sahagatāya
abyāpādasaññaṃ,abyāpāda+saññaṃ
abyāpādavitakkampi,abyāpāda+vitakkam+pi
abyāpādavitakkañce,abyāpāda+vitakkaṃ+ce
abyāpādoti,abyāpādo+ti
acavanadhammaṃyeva,ti
accutagāmabyāmako,accutagāma+byāmako
accāraddhavīriyādhikaraṇañca,accāraddha+vīriya2+adhikaraṇañ+ca
acelakasāvakā,acelaka+sāvakā
adantāva,go2+dammā,suvinītā
adassanapariyosānā,adassana1+pariyosānā
addhamāsassa,addha3+māsassa
addhuvāva,addhuvā1+eva
addhānamaggappaṭipannā,addhāna2+magga1+paṭipannā
addhānapariññatthaṃ,addhāna1+pariññā1+atthaṃ
addhāvuso,addhā2+āvuso+so
