abaddho,baddho
abahigatena,abahi+gatena
abahulīkatā,a+bahulī+katā
abbhasamaṃ,abbha+samaṃ
abbhasampilāpo,abbha+sampilāpo
abbhavalāhakasuttaṃ,abbha+valāhaka+suttaṃ
abbhavalāhakā,abbha+valāhakā
abbhañca,abbhañ+ca
abbhokāsagataṃ,abbhokāsa+gataṃ
abbhokāsagato,abbhokāsa+gato,abbhokāsaṃ+gato
abbhokāsagatopi,abbhokāsa+gato+pi
abbhokāsikasuttaṃ,abbhokāsika+suttaṃ
abbhokāsikopi,abbhokāsiko+pi
abbhutacittajātā,abbhuta+citta+jātā
abbhutadhammabākulaṃ,abbhuta+dhamma+bākulaṃ
abbhutadhammasamannāgatā,abbhuta+dhamma+samannāgatā
abbhutadhammaso,abbhuta+dhammaso
abbhutadhammaṃ,abbhuta+dhammaṃ
abbhutadhammā,abbhuta+dhammā
abbhutamidaṃ,abbhutam+idaṃ
abbhācikkhimhāti,abbhācikkhimhā+ti
abbhāhatuḍḍito,abbhāhata+uḍḍito
abbūḷhesiko,abbūḷha+esiko
abhabbasuttaṃ,abhabba+suttaṃ
abhabbaṭṭhānāni,abhabba+ṭhānāni
abhabboti,abhabbo+ti
abhabbābhāsaṃ,abhabba+ābhāsaṃ
abhavenassa,abhavena+assa
abhayadakkhiṇaṃ,abhaya+dakkhiṇaṃ
abhayanti,abhayan+ti
abhayappattasuttaṃ,abhaya+patta+suttaṃ
abhayappatto,abhaya+patto
abhayappattoti,abhaya+patto+ti
abhayarājakumārasuttaṃ,abhaya+rāja+kumāra+suttaṃ
abhayasuttaṃ,abhaya+suttaṃ
abhedanamukhāni,abhedana+mukhāni
abhejjapariso,abhejja+pariso
abhibhuyyasuttaṃ,abhibhuyya+suttaṃ
abhibhāyatanasuttaṃ,abhibhāyatana+suttaṃ
abhibhāyatanāni,abhibhū+āyatanāni
abhibhāyatanānī,abhibhū+āyatanānī
abhibhūsambhavaṃ,abhibhū+sambhavaṃ
abhibhūtametaṃ,abhibhūtam+etaṃ
abhidhammakathaṃ,abhidhamma+kathaṃ
abhidosakālaṅkato,abhidosa+kālaṅkato
abhihāramadāsi,abhihāram+adāsi
abhijikañca,abhijikañ+ca
abhijjhābyāpādo,abhijjhā+byāpādo
abhijjhābyāpādā,abhijjhā+byāpādā
abhijjhādomanassaṃ,abhijjhā+domanassaṃ
abhijjhādomanassā,abhijjhā+domanassā
abhijjhādomanassānaṃ,abhijjhā+domanassānaṃ
abhijjhālunopi,abhijjhāluno+pi
abhijjhālusuttaṃ,abhijjhālu+suttaṃ
abhijjhāpariyuṭṭhitena,abhijjhā+pariyuṭṭhitena
abhijjhāpariyuṭṭhānaṃ,abhijjhā+pariyuṭṭhānaṃ
abhijjhāpi,abhijjhā+pi
abhijjhāsahagatena,abhijjhā+sahagatena
abhijjhāti,abhijjhā+ti
abhijjhāvinaye,abhijjhā+vinaye
abhijjhāvisamalobhaṃ,abhijjhā+visama+lobhaṃ
abhijjhāvisamalobho,abhijjhā+visama+lobho
abhijānasuttaṃ,abhijāna+suttaṃ
abhijānāmahaṃ,abhijānāmi+ahaṃ
abhikkamapaṭikkamassetaṃ,abhikkama+paṭikkamassa+etaṃ
abhikkamapaṭikkamo,abhikkama+paṭikkamo
abhikkamasseva,abhikkama+assa+eva
abhikkamathāyasmanto,abhikkamatha+āyasmanto
abhikkamatīti,abhikkamatī+ti
abhikkamosānaṃ,abhikkama+osānaṃ
abhikkamāvuso,abhikkama+āvuso
abhikkantapaṭikkante,abhikkanta+paṭikkante
abhikkantatarañca,abhikkantatarañ+ca
abhikkantavaṇṇo,abhikkanta+vaṇṇo
abhikkantavaṇṇā,abhikkanta+vaṇṇā
abhikkhaṇampi,abhikkhaṇam+pi
abhinandamānasuttaṃ,abhinandamāna+suttaṃ
abhinandanahetu,abhinandana+hetu
abhinandanamaṭṭhamaṃ,abhinandanam+aṭṭhamaṃ
abhinandanasuttaṃ,abhinandana+suttaṃ
abhinandasuttaṃ,abhinanda+suttaṃ
abhinandañca,abhinandañ+ca
abhinandunti,abhinandun+ti
abhinandīti,abhinandī+ti
abhinetipi,abhineti+pi
abhinimanteyyāmapi,abhinimanteyyāma+pi
abhinimmineyyāmāti,abhinimmineyyāmā+ti
abhinivesasuttaṃ,abhinivesa+suttaṃ
abhinivesañca,abhinivesañ+ca
abhinivuṭṭhapubbo,abhinivuṭṭha+pubbo
abhinīhārakusalo,abhinīhāra+kusalo
abhinīhāramūlakasakkaccasuttāditikaṃ,abhinīhāra+mūlaka+sakkacca+sutta+ādi+tikaṃ
abhinīlanettagopakhumalakkhaṇāni,abhinīla+netta+go+pakhuma+lakkhaṇāni
abhinīlanettanayano,abhinīla+netta+nayano
abhinīlanetto,abhinīla+netto
abhiramatāyasmā,abhiramatu+āyasmā
abhisamayasaṃyuttaṃ,abhisamaya+saṃyuttaṃ
abhisamayavaggo,abhisamaya+vaggo
abhisambuddhoti,abhisambuddho+ti
abhisamitoti,abhisamito+ti
abhisamparāyañca,abhisamparāyañ+ca
abhisamparāyañcā,abhisamparāyañ+cā
abhisamparāyañcāti,abhisamparāyañ+cā+ti
abhisandasuttaṃ,abhisanda+suttaṃ
abhisaññānirodhakathā,abhisaññā+nirodha+kathā
abhisaññānirodhassa,abhisaññā+nirodhassa
abhisaññānirodhaṃ,abhisaññā+nirodhaṃ
abhisaññānirodhe,abhisaññā+nirodhe
abhisaññānirodho,abhisaññā+nirodho
abhivaggenapi,abhivaggena+pi
abhivādanapaccuṭṭhānaañjalikammasāmīcikammacīvarapiṇḍapātasenāsana,abhivādana+paccuṭṭhāna+añjali+kamma+sāmīci+kamma+cīvara+piṇḍapāta+sena+āsana
abhivādanapaccuṭṭhānaañjalikammasāmīcikammānī,abhivādana+paccuṭṭhāna+añjali+kamma+sāmīci+kammānī
abhiyanteva,abhiyanti+eva
abhiyaṃsveva,abhiyaṃsu+eva
abhiyātukāmo,abhiyātu+kāmo
abhiññatthā,abhiññā+atthā
abhiññeyyapariññeyyaṃ,abhiññeyya+pariññeyyaṃ
abhiññāpariññeyyaṃ,abhiññā+pariññeyyaṃ
abhiññāpariññāpahānasuttaṃ,abhiññā+pariññā+pahāna+suttaṃ
abhiññāsacchikaraṇīyassa,abhiññā+sacchikaraṇīyassa
abhiññāsacchikiriyāya,abhiññā+sacchikiriyāya
abhiññāsuttaṃ,abhiññā+suttaṃ
abhiññātakolañño,abhiññāta+kolañño
abhiññāvaggo,abhiññā+vaggo
abhiññāvosito,abhiññā+vosito
abhiññāvosānapāramippatto,abhiññā+vosāna+pārami+patto
abhiññāvosānapāramippattā,abhiññā+vosāna+pārami+pattā
abhiṇhadassanaṃ,abhiṇha+dassanaṃ
abhiṇhakāraṇā,abhiṇha+kāraṇā
abhiṇhapaccavekkhitabbaṭhānasuttaṃ,abhiṇha+paccavekkhitabba+ṭhāna+suttaṃ
abhāvitacitto,abhāvita+citto
abhāvitacittā,abhāvita+cittā
abhāvitakāyo,abhāvita+kāyo
abhāvitakāyā,abhāvita+kāyā
abhāvitapañño,abhāvita+pañño
abhāvitapaññā,abhāvita+paññā
abhāvitasīlo,abhāvita+sīlo
abhāvitasīlā,abhāvita+sīlā
abhāvitā,a+bhāvitā
abhūtanti,abhūtan+ti
abhūtavacanañca,abhūta+vacanañ+ca
abhūtavādī,abhūta+vādī
abhūtavādītipi,abhūta+vādī+ti+pi
abrahmacariyanti,abrahmacariya+ti
abrahmacariyavāso,a+brahmacariya+vāso
abrahmacariyavāsā,a+brahmacariya+vāsā
abrāhmaṇakārakā,abrāhmaṇa+kārakā
abrāhmaṇimpi,abrāhmaṇiṃ+pi
abyaggamanaso,abyagga+manaso
abyaggamānaso,abyagga+mānaso
abyagganimittaṃ,abyagga+nimittaṃ
abyābajjhampi,abyābajjham+pi
abyābajjhaparame,abyābajjha+parame
abyābajjhasuttaṃ,abyābajjha+suttaṃ
abyābajjhaṃyeva,abyābajjhaṃ+yeva
abyākatameva,abyākatam+eva
abyākatanti,abyākatan+ti
abyākatasaṃyuttaṃ,abyākata+saṃyuttaṃ
abyākatasuttaṃ,abyākata+suttaṃ
abyākatavaggo,abyākata+vaggo
abyākatavatthūsu,abyākata+vatthūsu
abyākatavatthūsū,abyākata+vatthūsū
abyākatañca,abyākatañ+ca
abyākataṭṭhānaṃ,abyākata+ṭhānaṃ
abyāpajjacitto,abyāpajja+citto
abyāpajjacittā,abyāpajja+cittā
abyāpajjhacitto,abyāpajjha+citto
abyāpannacetaso,abyāpanna+cetaso
abyāpannacittaṃ,abyāpanna+cittaṃ
abyāpannacitto,abyāpanna+citto,a+byāpanna+citto
abyāpannacittā,abyāpanna+cittā,a+byāpanna+cittā
abyāpannacittāpi,abyāpanna+cittā+pi
abyāpādacchando,abyāpāda+chando
abyāpādadhātu,abyāpāda+dhātu
abyāpādapariḷāho,abyāpāda+pariḷāho
abyāpādasaññā,abyāpāda+saññā
